,Body
558,"Das kann ich verstehen...
Dann war eben die Welt für mich noch in Ordnung, ich wurde damals noch großzügig von meinen Eltern alimentiert, zwecks Schulbildung und ""dass einmal etwas wird aus dem Mädchen und sie nicht gleich heiraten muss...""

R2394"
559,"Dort zerbrach gerade etwas und gerade die Aufbruchstimmung im ""Osten"" verstärkte dieses Gefühl."
560,"ja, ich kann mich erinnern."
561,"WORD!

*Broflosse*"
562,https://m.youtube.com/results?q=junge%20R%C3%B6mer&sm=3
563,"na gut,
derjungeroemer wurde 1984 geboren und von robert ponger produziert (haha)"
564,https://m.youtube.com/results?q=breaking%20the%20wall&sm=1
565,"Hast du noch ein Foto von ihr? Dann kannst du es an den Standard senden, siehe oben..."
566,"mir ein Mysterium zu erklären?
Warum du manchmal unter Dein Posting irgendeine Nummer schreibst und manchmal bleiben Deine Posts unbenummert?
Oder ist es ein Geheimcode für einen bestimmten User?"
567,"ja, ich hab damals den Schabowski live gesehen wir er seine berühmten Worte: ""Das gilt, glaub ich, sofort - unverzüglich"" gesagt hat und mir gedacht 'Weiß der eigentlich, was er da sagt?'
Und über den Udo mit seinen Spezis hab ich mich schon sehr lange vorher geärgert und war damals erleichtert, als sie ihn endlich aus dem Verkehr gezogen haben."
568,"Neiiiiiin beim Falco wusste ich nie, muss er grad ko..... oder will er wirklich singen ;-)"
569,das war meine schon 1980!
570,"Was vermutlich, bzw. ganz sicher mindestens 10 Jahre VOR der Geburt von User *derjungeroemerwar*"
571,Sie nummeriert ihre Postings. :-)
572,"Das beste alter, man steht schon auf den eigenen Füßen, hat keine Problemen,
keine Verantwortung ud steht trotzdem iim Mittelpunkt."
573,kommst halt mal zu einem OTF-Treffen ;-)
574,"Ich habe sie alle verbrannt, zerrissen oder zerschnitten.

Die Erinnerung daran tut mir heute noch weh.
Die gute Laune ist perdü."
575,"""mir grauet vor der Götterneide, des Lebens ungemischte Freude ward keinem Irdischen zuteil"" Schiller hat das so schön gesagt."
576,"betrifft Rumänien. Die Berichte über die Unruhen, die Ermordung der Ceausescus, usw. waren schockierend und habe ich immer noch im Gedächtnis. Sie haben uns damals dazu animiert, am 24. 12. 1989 Blut zu spenden. Die Schlange beim Roten Kreuz ging damals weit auf die Gusshausstraße hinaus (dort war damals die Zentrale). Meine Tochter war knapp 4 und war mit (hat aber nicht Blut gespendet :-)) - ich muss sie mal fragen, ob sie sich daran noch erinnern kann ..."
577,"Geh, das glaube ich nicht. Was soll denn das für einen Sinn haben? Die Anzahl der selbst verfaßten Postings wird angezeigt, wenn man sein Profil aufruft, die brauchen nicht numeriert zu werden."
578,"Ich lag mit damals schon im Bett als meine Mutter nochmal herein kam und sagte, dass die Mauer offen ist. Selten habe ich besser geschlafen als in dieser Nacht. Am Samstag bin ich dann mit meinen Eltern das erste Mal am Übergang Oberbaumbrücke in den Westen und zum Kudamm. Da ich schon 14 war, konnte ich danach mit meinem Kinderausweis auch alleine ""rüber"" fahren. Das waren wirklich unvergessliche Zeiten."
579,"Meine große Liebe in dieser Zeit hieß Hansi, war Sänger, bedeutend älter als ich, hatte dunkle Haare und sah umwerfend aus. Ein riesengroßes Bild von ihm hing gerahmt über meinem Bett...Er hat meiner Liebe keinerlei Beachtung geschenkt..."
580,"Der Herr Hölzl, mein bester nie persönlich kennengelernter Freund in der Pubertät...er hat mich durch selbige begleitet...ich war echt fertig, als er starb."
581,"In diesem Jahr fuhren wir mit dem Auto nach Paris, was natürlich sehr aufregend war (es war auch das 100-Jahr-Jubiläum des Eiffelturms). Von der Weltpolitik hatte ich in dem Alter naturgemäß keinen Tau, allerdings war ich ein großer Fan von Michail Gorbatschow, der oft im Fernsehen war und den ich als einzigen Politiker kannte – wegen seines coolen Feuermales!"
582,"Ich erinnere mich noch an den Tag, ich fuhr gerade mit dem Auto, als die Nachrichten kamen...fast hätte ich die Kurve nicht mehr geschafft..."
583,"Im Jahr 1989 saß ich mit Tommy bei dessen Vater David am Boden vor dem Fernseher und hab den Mauerfall angeschaut.
Für den mittlerweile verstorbenen David, gebürtigen Amerikaner, war es ein sehr bewegender Moment, und ich glaub er hat geweint.
Wir haben immer Halloween bei ihm gefeiert und es gab scheußlichen Pumpkin Pie, scheußlich-gute Brownies, Candy Corn und viel Schokozeug.
Alles aus Amerika eingeflogen auch die Backmischungen. Ein Nintendo NES stand auch herum, auch aus Amerika.
Als ich eine Mr. Big Kassette mitgenommen hab, etwas später hat David mich gefragt, seit wann ich denn Metal höre. Ich wußte gar nicht was er meint, aber es klang wild :-)
Zurück zum Mauerfall: Der Religionslehrer hat gemeint, daß nun DIE OSSIS kommen und UNS"
584,"die Arbeitsplätze wegnähmen. Das hab ich pansich der Mama erzählt, die daraufhin zu ihm ist und ihn mal ordentlich zusammengeschissen hat.
Die Ossi-Nicole aus Karl-Marx-Stadt wurde meine beste Freundin und ich bin mit ihr ab und zu in die Kirche gegangen, denn sie sollte nachgetauft werden.
Das war seltsam und auch fad.
Die Nicole hatte Fix und Foxi Leiberl an, während alle anderen in der Klasse Micky Mouse anhatten.
Ihr Bruder bekam oft eine auf den Arsch, und wir alle Stullen mit Wurst zum Abendbrot.
Ich war gern dort, weil es so anders war.
Wir haben Bravo gelesen und waren im Freibad."
585,:-)))
586,"Was ich vergessen hab: Jahre später, am Tag des Mauerfalls hat der feine Herr H. mit mir schlußgemacht, nachdem er mir alle meine Zigaretten zusammengeraucht hat!
So ein Arsch!"
587,"Hansi Lang

Hans Hölzl

Hansi Dujmic (gut, der war damals leider schon fast 1,5 Jahre tot)

O.T. Wenn es wahr ist, was mir Kat Imp in Deinem Namen auf meine Frage antwortete, daß du Deine Posts numerierst, dann zweifle ich umso mehr an seiner Antwort, als daß Du Deine letzten Postings nicht mit R und einer Nummernkombi beendet hast."
588,waren auch 1989 bereits das Letzte und wurden nur von Schlurfs und Michael Jackson getragen.
589,"Das Jahr 1989 hat mich sehr geprägt, ich wurde David Hasselhoff Fan.

Und bin es noch immer!

http://youtu.be/MQ5rIbnD_P4"
590,da war ich gerade ein feuchter Traum meiner Eltern. Mhhmh.
591,"sofia, bulgarien
ich war fürs fernsehen dort, wir hatten einen stasi-typen, der uns überall hinmitbegleitete, normalerweise war der unheimlich streng, was man filmen durfte.
am nächsten tag waren wir auf einem platz mit 300.000 leuten, da war ihm schon alles ziemlich egal, da wußten wir, es ist vorbei, und so war es auch.
das war die erste revolution, bei der ich dabei war, das glück der menschen mitzuerleben, mir kommen heute noch die tränen, wenn ich daran denke."
592,"Ja, da hast du ja irgendwie recht...deshalb trug ich ja damals keine...

R2408"
593,"http://derstandard.at/plink/2000004485435?_pid=39251915#pid39251915

ich nummeriere aber nicht mehr alle und im OTF gar nicht mehr"
594,"Die Tage, als die Ostdeutschen in Massen über die ungarisch-österreichische Grenze strömten, war ich beruflich in London. Die Bilder sah ich im Fernsehen im Hotelzimmer, der Kommentar der BBC kam mir ziemlich wirr vor. Selbst fiel es mir auch sehr schwer die Bedeutung und den Umfang des Gesehenen zu begreifen. 
Jedenfalls löcherten mich meine Kollegen, hauptsächlich Briten un Amerikaner, den ganzen Abend lang mit Fragen, die ich kaum beantworten konnte. Die hatten mich kurzerhand zu Ostexpertin erklärt, da ich ja quasi direkt vom Eisernen Vorhang kam. Daran erinnere ich mich sehr genau."
595,"Thx.
Ich sehe keinen Sinn dahinter (muß ich auch nicht, gehts mich auch nix an, war ja nur neugierig). ;o)"
596,sicha a buchhoitarin des madl!
597,"1989 wohnte ich in der mauthnergasse, direkt vis-à-vis des st. anna kinderspitals, muß die onkologie gewesen sein, denn wenn ich am fenster eine zigarette rauchte konnte ich drüben immer kleine glatzköpfe in mickey-mouse-pyjamas spielen sehen, & nachts war im sommer gelegentlich leises kinderweinen & -wimmern zu hören.

mauerfall war auch, ja, aber der berührte mich weil direkt kaum betroffen weit weniger. ich weiß aber noch, dass mir die allgemeine jubelstimmung bei allem verständnis unheimlich war, weil ich mir damals schon dachte, wenn wir pech haben werden die jetzt alle wieder nationalisten, & das wird dann kaum ohne krieg abgehen; wie's auf dem balkan & im kaukasus dann ja auch tatsächlich geschehen ist."
598,"habe mich selten so gut unterhalten, wenn ich hier ein post las. danke dafür."
599,"Im großen war es sehr beeindrucktend. Man kann sich das vielleicht auch heute im Angesicht von Ostalgie etc. nicht mehr vorstellen WIE angefressen die Osteuropäer auf ihr System und ihre Regierungen waren. Da war 0 Respekt oder Wertschätzung für das vorherige noch vorhanden. 

Im mittleren war es eine Veranlassung für Professor Funk mit uns die Frage was denn juristisch eine Revolution sei durchzugehen:)

Und im nachbarschaftlichen meines Heimatortes hatte es unmittelbare Wirkungen als nämlich die sehr fesche Ehefrau unseres tumben Nachbarn sich 1 Woche später scheiden ließ (sie war aus der DDR und war ihr das wohl der letzte Anstoss auch privat den Mauerfall zu begehen)."
600,ich habe ihn kennengelernt. er war grandios. seltsam aber grandios.
601,schiller ist der beste!
602,";o)

Na Duuuu mußt Buchhalterinnen kennen."
603,Klingt irgendwie unglaubwürdig. 1989 ging niemand extra ans Fenster um zu rauchen.
604,"Das war doch total üblich, am Fensterbrett zu knotzen, und die Raucher haben dann ihre Asche raus gebröselt und die Stummel runter geworfen."
605,Dafür sind schließlich auch die kleinen Polster auf den Fensterbänken gewesen:)
606,"Ich kann mich eigentlich an Wind of Change von den Scorpions und das dazugehörige Video im Wurlitzer erinnern. So richtig verstanden habe ich das damals nicht, aber die Bilder haben sich eingeprägt."
607,"Der Mauerfall hat mir das Thema für meine Deutschmatura beschert! Erinnere mich zwar nur mehr dunkel daran, dürfte aber letztlich gepasst haben ... ;-)"
608,"war zu beschäftigt herumzukrabbeln, ist irgendwie an mir vorbeigezogen."
609,"Der Pfarrer hatte eine Predigt über das Thema Freiheit und so weiter gehalten, und hatte dann als Beweis einen Berliner Mauerstein auf seinem Messtisch, den er prahlend in die Höhe gehalten halt, um zu demonstrieren dass das gute doch immer siegt.

Heute weiß ich: Total guter Spin, Propaganda vom feinsten. 
Was ich als Bub nicht wissen konnte: Kirche und Sozialismus mögen sich nicht, und die Propaganda ist schon Jahrzehntelang gelaufen. Der jahrhundertealte Machtapparat Kirche hat sich durchgesetzt. Leider."
610,"...und habe keine eigene Erinnerung an den Eisernen Vorhang, wie geht sowas auch als Mensch, Jahrgang 1995. Ich bin dementsprechend mit Dingen wie dem Schengener Abkommen und einem Europa ohne Kriegsangst aufgewachsen, eine schöne Sache. Das, was ich über 1989 weiß (Mauerfall, Samtene Revolution, blutiger Umsturz in Rumänien als Beispiele) habe ich dementsprechend aus Fernsehen und Internet. Ich finde es trotzdem sehr schön zu lesen, was Menschen dazu sagen, die das alles miterlebt haben. Dass Menschen aus unterschiedlichen Ländern zusammen ihre neugewonnene Freiheit zelebrieren und sich ''Ossis'' und ''Wessis'' in den Armen liegen, wildfremde Menschen zum großen Teil. Danke und weiter so mit diesen schönen Geschichten von 1989."
611,"1989 war ich gerade 10 das war die schönste Zeit meines Lebens. Falls mir dort jemand gesagt hätte das ich in 5 Jahren nicht mehr zu hause sein werde und meine Freunde und Familie sehen würde hätte ich gelacht! Politisch hat sich da vieles getan und schließlich brach kurz danach Krieg aus. Alles war vorbei! Keine Kindheit kein Zuhause geschweige was g'scheites zu essen!
Ich suche noch heute nach einem BMX Rad von 1989 den ich gehabt habe für meinen jetzt 3 Jährigen Sohn damit wir beide später mal schöne Errinnerungen haben an diese Zeit:) mein Glück war das ich DIE Chance in Österreich bekam, und bin so froh und dankbar darüber. Fotos hab ich leider keine für euch diese sind im Kriegsbrand leider verloren für immer:("
612,"Mir bleibt ein sehr junger Mann (etwa so um die 20 ) in Erinnerung der im November 89 ein Interview gab wie großartig es sei, dass nunmehr die DDR Revolution habe und das er sich aber keine Wiedervereinigung wünsche und er sehr zuversichtlich sei, dass nunmehr die DDR endlich ihrer Bestimmung nachkommen könne einen 3. Weg zwischen Sozialismus und Kapitalismus zu gehen und schon in wenigen Jahren die Menschen aus dem Westen dann in die DDR auswandern würden.

Er hatte die damals üblich runden John Lennon Brillen und wirkte recht intellektuell. Was wohl aus ihm geworden ist?

Er hat mich mit irgendwie beeindruckt."
613,"Ich hatte einen Onkel in West Berlin, der wohnte an einer ruhigen Strasse in Lichterfeld. Als die Mauer fiel, war seine einzige Sorge ob nicht jetzt seine Ruhe dahin sei - von wegen Durchzugsstrasse und so. Die kommen ja nur wegen der D Mark, meinte er, verkaufte sein Haus und zog nach Bayern. 
Dort starb er dann vereinsamt aber ruhig. Und vererbt hat er mir auch nichts."
614,"Wie wär es mit einem ""verspäteten"" Blog, quasi 1985-1995 oder so? Würd ich gerne lesen was da damals noch so alles passiert ist"
615,"und war mit meinem Sohn schwanger.
D.h. zu der allgemeinen Aufregung kam noch meine persönliche dazu.
Wie es hieß. dass die Mauer tatsächlich gefallen sei, war so ein Gefühl ""Jetzt ist ein Wunder geschehen!"" in der Luft- es war einfach unglaublich.
Ich glaube mich erinnern zu können, dass ich vor Freude geweint habe- und ich war nicht die Einzige.
Heute kenne ich viele Menschen aus einstigen Ostblockländern,die sich die ""früheren Verhältnisse"" zurückwünschen- auf den Jubel folgte bald die Ernüchterung
An mein privates Wunder hingegen-die Geburt meines Sohnes 4 Monate später- denke ich noch immer mit großer Freude und Dankbarkeit zurück."
616,goa ned
617,"Natura, Maturareise, Interrail durch Europa, Studienbeginn .. ... was für ein Jahr!!!"
618,"nachtrag:
sofia, wir drehen in einem park, ca. 20 menschen stehen aufgeregt und aufgelöst beisammen und diskutieren, vorher versammlungsverbot.
der fritz orter interviewte und, so wie er das machte, erhielt er intellektuelle und lange antworten.
wir brauchten das für den auslandsreport. gleichzeitig sollten wir der taggleichen zib was liefern.
ich machte den fritz 3 x auf eine total aufgelöste kleine, total herzige frau aufmerksam, er wollte nicht, endlich doch.
er fragte sie, wie sie sich jetzt die demokratie vorstelle, sie stand nur da und leuchtete mit den augen und sagte: ""demokratie, ja"".
dasselbe mit 2 weiteren fragen zu freiheit und zukunft, es war köstlich.
das überspielten wir nach wien, da schrieb ich fernsehgeschichte ;)"
619,"den Metropoliten und Erzbischof der Erzdiözese Wien, Seine Eminenz Hans Hermann Kardinal Groer, zu ihrem Vorsitzenden erwählt hat, in guter Erinnerung."
620,
621,"Meistens mit dem Ohr am Radio - den Lehrern wars egal, die wollten die pausenlosen news ebenso hoeren.

Und natuerlich: mit den Scorpions"
622,"Für den einen waren die Demonstranten Verbrecher, für den anderen waren die Nicht-Demonstranten Verbrecher. Zu der einen großen Demo auf dem Alexanderplatz haben mich meine Eltern dann mitgenommen. War eine ausgelassene Stimmung mit ""Auf die Straße"" und ""Leute lasst das Glotzen sein, kommt mit runter reiht euch ein"" Sprechchören. Ende 89 / Anfang 90 bin ich zusammen mit zwei Freunden erstmals rüber nach Westberlin. Wir haben uns dafür durch Löcher in der ramponierten Mauer gezwängt, weil man nur mit Ausweis die Grenzübergänge passieren durfte. Wir sind, ausgerechnet, im Wedding gelandet und ich war maßlos enttäuscht, weil dort alles ähnlich schmutzig und kaputt war, wie bei uns. Das hatten uns die Erwachsenen ganz anders vorgeschwärmt ..."
